player_id,name_first,name_last,name_full,dummy
sheasp01,Spec,Shea,Spec Shea,1
sheast01,Steve,Shea,Steve Shea,1
sheckji01,Jimmy,Sheckard,Jimmy Sheckard,1
sheehbi01,Biff,Sheehan,Biff Sheehan,1
sheehja01,Jack,Sheehan,Jack Sheehan,1
sheehji01,Jim,Sheehan,Jim Sheehan,1
sheehto01,Tommy,Sheehan,Tommy Sheehan,1
sheehto02,Tom,Sheehan,Tom Sheehan,1
sheelbu01,Bud,Sheely,Bud Sheely,1
sheelea01,Earl,Sheely,Earl Sheely,1
sheerch01,Chuck,Sheerin,Chuck Sheerin,1
sheetan01,Andy,Sheets,Andy Sheets,1
sheetbe01,Ben,Sheets,Ben Sheets,1
sheetla01,Larry,Sheets,Larry Sheets,1
sheffga01,Gary,Sheffield,Gary Sheffield,1
shelbjo01,John,Shelby,John Shelby,1
sheldbo01,Bob,Sheldon,Bob Sheldon,1
sheldro01,Rollie,Sheldon,Rollie Sheldon,1
sheldsc01,Scott,Sheldon,Scott Sheldon,1
shellfr01,Frank,Shellenback,Frank Shellenback,1
shellhu01,Hugh,Shelley,Hugh Shelley,1
shellji01,Jim,Shellenback,Jim Shellenback,1
shellst01,Steven,Shell,Steven Shell,1
sheltbe01,Ben,Shelton,Ben Shelton,1
sheltch01,Chris,Shelton,Chris Shelton,1
sheltsk01,Skeeter,Shelton,Skeeter Shelton,1
shemost01,Steve,Shemo,Steve Shemo,1
shepabe01,Bert,Shepard,Bert Shepard,1
shepaja01,Jack,Shepard,Jack Shepard,1
shepala99,Larry,Shepard,Larry Shepard,1
shepara01,Ray,Shepardson,Ray Shepardson,1
shephke01,Keith,Shepherd,Keith Shepherd,1
shephro01,Ron,Shepherd,Ron Shepherd,1
sheppjo01,John,Sheppard,John Sheppard,1
sherdbi01,Bill,Sherdel,Bill Sherdel,1
sheri01,,Sheridan, Sheridan,1
sherine01,Neill,Sheridan,Neill Sheridan,1
sheripa01,Pat,Sheridan,Pat Sheridan,1
sherire01,Red,Sheridan,Red Sheridan,1
sheriro01,Roy,Sherid,Roy Sherid,1
sherled01,Ed,Sherling,Ed Sherling,1
sherlmo01,Monk,Sherlock,Monk Sherlock,1
sherlvi01,Vince,Sherlock,Vince Sherlock,1
shermda01,Dan,Sherman,Dan Sherman,1
shermda02,Darrell,Sherman,Darrell Sherman,1
shermjo01,Joe,Sherman,Joe Sherman,1
sherrde01,Dennis,Sherrill,Dennis Sherrill,1
sherrfr01,Fred,Sherry,Fred Sherry,1
sherrge01,George,Sherrill,George Sherrill,1
sherrla01,Larry,Sherry,Larry Sherry,1
sherrno01,Norm,Sherry,Norm Sherry,1
sherrti01,Tim,Sherrill,Tim Sherrill,1
shetrba01,Barry,Shetrone,Barry Shetrone,1
shettbi99,Bill,Shettsline,Bill Shettsline,1
shetzjo01,John,Shetzline,John Shetzline,1
shevlji01,Jimmy,Shevlin,Jimmy Shevlin,1
shielbe01,Ben,Shields,Ben Shields,1
shielch01,Charlie,Shields,Charlie Shields,1
shielja01,Jason,Shiell,Jason Shiell,1
shielja02,James,Shields,James Shields,1
shielpe01,Pete,Shields,Pete Shields,1
shielsc01,Scot,Shields,Scot Shields,1
shielst01,Steve,Shields,Steve Shields,1
shielto01,Tommy,Shields,Tommy Shields,1
shielvi01,Vince,Shields,Vince Shields,1
shiffga01,Garland,Shifflett,Garland Shifflett,1
shiffst01,Steve,Shifflett,Steve Shifflett,1
shillji01,Jim,Shilling,Jim Shilling,1
shinagi01,Ginger,Shinault,Ginger Shinault,1
shinaza01,Zak,Shinall,Zak Shinall,1
shindbi01,Billy,Shindle,Billy Shindle,1
shinera01,Razor,Shines,Razor Shines,1
shinjts01,Tsuyoshi,Shinjo,Tsuyoshi Shinjo,1
shinnra01,Ralph,Shinners,Ralph Shinners,1
shinnti01,Tim,Shinnick,Tim Shinnick,1
shipada01,Dave,Shipanoff,Dave Shipanoff,1
shipkbi01,Bill,Shipke,Bill Shipke,1
shiplcr01,Craig,Shipley,Craig Shipley,1
shipljo01,Joe,Shipley,Joe Shipley,1
shirear01,Art,Shires,Art Shires,1
shiredu01,Duke,Shirey,Duke Shirey,1
shirlba01,Bart,Shirley,Bart Shirley,1
shirlbo01,Bob,Shirley,Bob Shirley,1
shirlmu01,Mule,Shirley,Mule Shirley,1
shirlst01,Steve,Shirley,Steve Shirley,1
shirlte01,Tex,Shirley,Tex Shirley,1
shiveiv01,Ivey,Shiver,Ivey Shiver,1
shochge01,George,Shoch,George Shoch,1
shockco01,Costen,Shockley,Costen Shockley,1
shockur01,Urban,Shocker,Urban Shocker,1
